"plot_id" "Domain" "Leaf_flush" "mean_ndvi" "sd_ndvi"
"78" 101 "Amazonia" "Evergreen" 0.364807617723192 0.0858714958322031
"79" 102 "Amazonia" "Evergreen" 0.404204075552389 0.113600037235118
"80" 103 "Amazonia" "Evergreen" 0.344366869587306 0.116763755555364
"81" 104 "Amazonia" "Evergreen" 0.50569773718255 0.133754884416907
"82" 105 "Amazonia" "Evergreen" 0.455921078577433 0.0545667075635952
"83" 106 "Amazonia" "Evergreen" 0.556123245334783 0.0780893895229882
"84" 108 "Amazonia" "Evergreen" 0.448096270369559 0.133474546419346
"85" 109 "Amazonia" "Evergreen" 0.479049388085534 0.117631839940237
"86" 110 "Amazonia" "Evergreen" 0.386309910253289 0.0921813070082022
"87" 111 "Amazonia" "Evergreen" 0.402159013311559 0.100948818564296
"88" 112 "Amazonia" "Evergreen" 0.387059489285474 0.0848293060997052
"89" 113 "Amazonia" "Evergreen" 0.326727116346539 0.0951413169370359
"90" 114 "Amazonia" "Evergreen" 0.391454181761498 0.08473654816277
"91" 115 "Amazonia" "Evergreen" 0.400916001377901 0.0863284950210111
"92" 116 "Amazonia" "Evergreen" 0.394768400742337 0.0810795948218955
"93" 117 "Amazonia" "Evergreen" 0.457509753804612 0.0702269396579004
"94" 118 "Amazonia" "Evergreen" 0.417430437501051 0.091849756680452
"95" 119 "Amazonia" "Evergreen" 0.504640388456286 0.0626444947966712
"96" 120 "Amazonia" "Evergreen" 0.461473297079157 0.101618278564042
"97" 121 "Amazonia" "Evergreen" 0.478776997803154 0.0688920196529188
"98" 122 "Amazonia" "Evergreen" 0.502243764135449 0.118621188981957
"99" 123 "Amazonia" "Evergreen" 0.419823392564305 0.0936231458337192
"100" 124 "Amazonia" "Evergreen" 0.429000321314989 0.107518649528384
"101" 125 "Amazonia" "Evergreen" 0.459570298174176 0.0779350730754901
"102" 126 "Amazonia" "Evergreen" 0.459546840390217 0.131005702761146
"103" 127 "Amazonia" "Evergreen" 0.475864735773423 0.102237169461262
"104" 128 "Amazonia" "Evergreen" 0.400158936952165 0.0745163897663635
"105" 129 "Amazonia" "Evergreen" 0.474137023074419 0.0481418127948389
"106" 132 "Amazonia" "Evergreen" 0.554735497760251 0.107852500879611
"107" 133 "Amazonia" "Evergreen" 0.513430087317119 0.058707952949273
"108" 134 "Amazonia" "Evergreen" 0.492266223915371 0.103027780103505
"109" 135 "Amazonia" "Evergreen" 0.408634876983017 0.139324649534933
"110" 136 "Amazonia" "Evergreen" 0.419634619562336 0.0973439393249831
"111" 137 "Amazonia" "Evergreen" 0.407847987671393 0.127431243790228
"112" 138 "Amazonia" "Evergreen" 0.469389126138024 0.155664763845274
"113" 139 "Amazonia" "Evergreen" 0.446685169325925 0.0657581497514948
"114" 140 "Amazonia" "Evergreen" 0.375121908719054 0.0770363530688005
"115" 142 "Amazonia" "Evergreen" 0.477216033850126 0.0629788458849146
"116" 143 "Amazonia" "Evergreen" 0.396979986362952 0.120183342313074
"117" 144 "Amazonia" "Evergreen" 0.365670261806525 0.100493841260464
"118" 145 "Amazonia" "Evergreen" 0.47611965898408 0.0730137270495407
"119" 146 "Amazonia" "Evergreen" 0.419986691005349 0.0818083588082546
"120" 149 "Amazonia" "Evergreen" 0.368137304323229 0.124480624977415
"121" 150 "Amazonia" "Evergreen" 0.442065794429109 0.138680634710656
"122" 151 "Amazonia" "Evergreen" 0.440393140016833 0.0602971379057244
"123" 152 "Amazonia" "Evergreen" 0.564186273272439 0.0876802710037398
"124" 153 "Amazonia" "Evergreen" 0.507706259676006 0.097429834267444
"125" 154 "Amazonia" "Evergreen" 0.42109886365512 0.034676535769319
"126" 155 "Amazonia" "Evergreen" 0.42367232718132 0.0953281766358728
"127" 156 "Amazonia" "Evergreen" 0.402225021858669 0.0907002062526084
"128" 157 "Amazonia" "Evergreen" 0.462895669499894 0.0807031402695182
"129" 158 "Amazonia" "Evergreen" 0.34892850354665 0.108237918224761
"130" 159 "Amazonia" "Evergreen" 0.401254885047401 0.10339184467654
"131" 160 "Amazonia" "Evergreen" 0.410593667017514 0.149027476602492
"132" 161 "Amazonia" "Evergreen" 0.546310829655639 0.0498435586845828
"133" 163 "Amazonia" "Evergreen" 0.420536739428102 0.120292297924228
